i_episode: 203,	 reward_accu: 144, 	 action_length: 1568,	 running times: 1568
i_episode: 204,	 reward_accu: 144, 	 action_length: 1477,	 running times: 1477
i_episode: 205,	 reward_accu: 144, 	 action_length: 1441,	 running times: 1441
i_episode: 206,	 reward_accu: 144, 	 action_length: 2898,	 running times: 2898
i_episode: 207,	 reward_accu: 144, 	 action_length: 1666,	 running times: 1666
i_episode: 208,	 reward_accu: 144, 	 action_length: 2210,	 running times: 2210
i_episode: 209,	 reward_accu: 144, 	 action_length: 1651,	 running times: 1651
i_episode: 210,	 reward_accu: 144, 	 action_length: 1392,	 running times: 1392
i_episode: 211,	 reward_accu: 144, 	 action_length: 1552,	 running times: 1552
i_episode: 212,	 reward_accu: 144, 	 action_length: 1488,	 running times: 1488
i_episode: 213,	 reward_accu: 144, 	 action_length: 1605,	 running times: 1605
i_episode: 214,	 reward_accu: 144, 	 action_length: 1531,	 running times: 1531
i_episode: 215,	 reward_accu: 120, 	 action_length: 1294,	 running times: 1294
i_episode: 216,	 reward_accu: 144, 	 action_length: 1546,	 running times: 1546
i_episode: 217,	 reward_accu: 144, 	 action_length: 1532,	 running times: 1532
i_episode: 218,	 reward_accu: 144, 	 action_length: 1484,	 running times: 1484
i_episode: 219,	 reward_accu: 144, 	 action_length: 1990,	 running times: 1990
i_episode: 220,	 reward_accu: 144, 	 action_length: 1480,	 running times: 1480
i_episode: 221,	 reward_accu: 144, 	 action_length: 1579,	 running times: 1579
i_episode: 222,	 reward_accu: 144, 	 action_length: 1525,	 running times: 1525
i_episode: 223,	 reward_accu: 144, 	 action_length: 1620,	 running times: 1620
i_episode: 224,	 reward_accu: 144, 	 action_length: 1580,	 running times: 1580
i_episode: 225,	 reward_accu: 144, 	 action_length: 1529,	 running times: 1529
i_episode: 226,	 reward_accu: 144, 	 action_length: 1477,	 running times: 1477
i_episode: 227,	 reward_accu: 144, 	 action_length: 1487,	 running times: 1487
i_episode: 228,	 reward_accu: 144, 	 action_length: 1593,	 running times: 1593
i_episode: 229,	 reward_accu: 144, 	 action_length: 1586,	 running times: 1586
i_episode: 230,	 reward_accu: 144, 	 action_length: 1526,	 running times: 1526
i_episode: 231,	 reward_accu: 144, 	 action_length: 1472,	 running times: 1472
i_episode: 232,	 reward_accu: 144, 	 action_length: 1466,	 running times: 1466
i_episode: 233,	 reward_accu: 144, 	 action_length: 1469,	 running times: 1469
i_episode: 234,	 reward_accu: 144, 	 action_length: 1505,	 running times: 1505
i_episode: 235,	 reward_accu: 144, 	 action_length: 1494,	 running times: 1494
i_episode: 236,	 reward_accu: 144, 	 action_length: 1492,	 running times: 1492
i_episode: 237,	 reward_accu: 144, 	 action_length: 1436,	 running times: 1436
i_episode: 238,	 reward_accu: 144, 	 action_length: 1451,	 running times: 1451
i_episode: 239,	 reward_accu: 144, 	 action_length: 1501,	 running times: 1501
